,brand,prices,Discount,Ratings,Capacity,colour,User_Ratings,original_price
0,IFB,27490,20,4.3,7,Silver,8972,34590
1,realme,10290,45,4.3,8.5,Black,3504,18990
2,Motorola,27490,52,4.2,10.5,In-bui...,2572,57999
3,SAMSUNG,13990,16,4.4,6.5,Silver,61984,16800
4,LG,16990,24,4.5,11,Black,1174,22490
5,Whirlpool,12990,22,4.3,6,Grey,26846,16800
6,Thomson,6490,35,4.0,6.5,White,4417,9999
7,SAMSUNG,8990,9,4.4,6,Purple,12280,9900
8,Haier,13490,38,4.3,6.5,Grey,7284,22000
9,BOSCH,27990,26,4.4,7,Wh...,14005,37899
10,LG,12290,20,4.4,7.5,White,2040,15490
11,Whirlpool,9940,11,4.4,7,Grey,62485,11250
12,IFB,16990,20,4.3,7,White,11250,21490
13,LG,23990,29,4.4,6,White,5104,33990
14,Godrej,11990,36,4.2,6.2,Grey,1684,18990
15,SAMSUNG,21990,17,4.4,6,Hea...,18807,26500
16,LG,13490,32,4.5,8,Multicolor,4522,19990
17,LG,15590,10,4.2,8,Grey,66,17490
18,Whirlpool,17240,13,4.3,7.5,Grey,8330,19950
19,Whirlpool,19990,14,4.3,7.5,Grey,3423,23300
20,BOSCH,31490,20,4.4,7,Gr...,10122,39799
21,LG,27490,29,4.4,7,White,6354,38990
22,SAMSUNG,27490,20,4.4,7,H...,18807,34700
23,SAMSUNG,42250,24,4.4,8,Black,18807,56000
24,LG,23670,20,4.3,8,A...,2069,32990
25,SAMSUNG,11390,26,5.0,7.5,Grey,12280,15500
26,IFB,16490,20,5.0,6.5,White,11250,19290
27,MOTOROLA,28990,22,4.4,10.5,In...,2573,64999
28,realme,8190,24,5.0,7.5,Grey,3504,13990
29,SAMSUNG,13490,28,5.0,8.5,Grey,12280,16190
30,ONIDA,9490,26,4.4,8,Grey,4966,13670
31,Thomson,6990,14,5.0,7,White,24,10499
32,BOSCH,34990,55,5.0,8,Si...,3432,46499
33,IFB,36590,41,4.3,8,Grey,353,44990
34,LG,13990,16,1.0,8.5,Lo...,3135,19090
35,realme,11790,30,5.0,6.5,Grey,10470,16490
36,LG,18990,33,4.5,7,Silver,69,24990
37,Singer,6890,24,5.0,7,White,324,13990
38,LG,17490,18,1.0,7,Silver,5371,23990
39,SAMSUNG,9990,26,4.5,6.5,Grey,12280,12500
40,MarQ,7290,28,4.4,7.5,Grey,396,12490
41,IFB,18190,24,4.3,6.5,Grey,23963,22050
42,IFB,32490,50,4.2,8,White,254,40990
43,SAMSUNG,23490,27,4.3,6,Hea...,18807,32190
44,IFB,27990,20,4.4,7,White,289,35290
45,LG,17900,41,4.2,7.5,Silver,465,24863
46,Voltas,10590,17,4.3,8.5,White,142,17990
47,BOSCH,24990,20,4.4,6,White,2284,30299
48,Godrej,13490,27,4.3,7,Grey,1684,19890
49,Voltas,10590,20,4.4,8.5,White,132,17990
50,SAMSUNG,8990,28,4.2,6,Purple,12280,9900
51,SAMSUNG,13990,41,4.2,6.5,Silver,61984,16800
52,Haier,14990,17,4.2,7,Grey,7284,22490
53,MarQ,6790,28,4.4,6.5,White,49232,10490
54,Panasonic,13490,41,4.4,6,Grey,8651,20000
55,Whirlpool,9940,20,4.2,7,Grey,62485,11250
56,LG,16790,33,4.3,10,White,532,21490
57,LG,31490,26,4.3,8,White,3726,42990
58,Panasonic,15990,32,4.4,7,Silver,8651,25000
59,SAMSUNG,21990,41,4.3,6,Hea...,18807,26500
60,realme,9990,9,4.3,8,Black,3504,17490
61,Thomson,17990,16,4.4,7.5,White,789,25999
62,IFB,40207,33,4.4,8,Silver,353,45690
63,Whirlpool,19990,35,4.3,7.5,Grey,3423,23300
64,SAMSUNG,16990,32,5.0,7,Silver,11318,19800
65,Sansui,7690,11,5.0,7,White,10294,12990
66,Whirlpool,14490,21,4.3,8,Grey,4702,15000
67,SAMSUNG,42250,26,5.0,8,Black,18807,56000
68,Whirlpool,9940,36,1.0,7,Grey,4702,13600
69,SAMSUNG,25010,17,4.3,9,To...,2129,30500
70,IFB,39990,42,5.0,9,Silver,1060,46990
